month,avg_price,lg_avg_price,inflation
2025-10,468653.71428571426,5.670852063,0.0121
2025-09,467333.7894736842,5.669627183,0.00671
2025-08,470556.6466306306,5.672611912,0.00547
2025-07,474974.2360876897,5.676670053,0.0063
2025-06,477128.50530035334,5.678635364,0.00795
2025-05,474363.037,5.676110841,0.00767
2025-04,472427.22807017545,5.67433492,0.00862
2025-03,465895.0489795918,5.668288095,0.0089
2025-02,468526.05597014923,5.670733748,0.00924
2025-01,462134.72105263156,5.664768599,0.01171
2024-12,458238.10505836573,5.6610912,0.01496
2024-11,461289.6275862069,5.663973689,0.01598
2024-10,447906.9840142096,5.651187834,0.01157
2024-09,452227.1433756806,5.655356626,0.01892
2024-08,445975.0306946688,5.649310544,0.02173
2024-07,443826.59072305594,5.647213318,0.02465
2024-06,442420.9922928709,5.645835725,0.02518
2024-05,432521.7944358578,5.636007996,0.03116
2024-04,430961.32363013696,5.634438296,0.0264
2024-03,423526.24975409836,5.626880333,0.03017
2024-02,425037.1818181818,5.628426923,0.03579
2024-01,420368.70588235295,5.623630378,0.03112
2023-12,412650.8968253968,5.615582793,0.03751
2023-11,420409.2908884688,5.623672305,0.03577
2023-10,413717.1364485981,5.61670351,0.04762
2023-09,415015.5397148676,5.618064359,0.04135
2023-08,410858.65352472087,5.613692439,0.04058
2023-07,413822.19327731093,5.616813778,0.04119
2023-06,414189.32857142854,5.617198905,0.04519
2023-05,409543.18518518517,5.612299704,0.05058
2023-04,407161.9163265306,5.60976715,0.05759
2023-03,410420.00690846285,5.613228523,0.05536
2023-02,406124.8,5.60865951,0.06312
2023-01,409668.8471810089,5.61243294,0.06638
2022-12,395938.5186500888,5.597627754,0.06471
2022-11,402308.8142589118,5.604559548,0.06744
2022-10,402021.54013015184,5.604249323,0.06751
2022-09,398720.8745819398,5.600668973,0.07486
2022-08,393211.3754385965,5.594626073,0.07468
2022-07,387985.5063063063,5.588815502,0.07054
2022-06,390199.1440677966,5.591286312,0.06685
2022-05,387326.1920152091,5.588076866,0.05627
2022-04,379816.19715447153,5.579573481,0.05432
2022-03,382739.7706422018,5.582903592,0.05397
2022-02,372761.74942528736,5.571431341,0.04334
2022-01,372747.53673504276,5.571414782,0.04026
2021-12,371258.2878504673,5.569676157,0.03964
2021-11,369529.59432727273,5.567649225,0.03861
2021-10,365975.69439728354,5.563452243,0.03256
2021-09,359340.40074906364,5.555506048,0.02527
2021-08,354869.73656845756,5.550068964,0.02442
2021-07,351642.3650513699,5.546101192,0.02526
2021-06,352574.3,5.547250652,0.02396
2021-05,354865.57843137253,5.550063875,0.02423
2021-04,344541.15367965365,5.537241104,0.02088
2021-03,338611.8264758497,5.529702122,0.01317
2021-02,334804.2317596566,5.524790939,0.00747
2021-01,333167.6597744361,5.522662838,0.00247
2020-12,327916.9872,5.515763915,0.00038
2020-11,328508.5781,5.516546714,-0.00131
2020-10,327015.64285714284,5.514568528,-0.00203
2020-09,319064.7007,5.503878759,0.00005
2020-08,314692.54706927174,5.497886458,-0.0039
2020-07,305102.4690553746,5.484445722,-0.004
2020-06,299292.85133020347,5.476096344,-0.00528
2020-05,302594.1176470588,5.480860481,-0.00834
2020-04,286696.33684210526,5.457422144,-0.00737
2020-03,302609.11790393014,5.48088201,-0.00034
2020-02,303590.6338797814,5.482288369,0.00328
2020-01,304580.12362030905,5.483701559,0.00825
2019-12,301084.65684210527,5.478688625,0.00765
2019-11,302669.1380846325,5.48096814,0.00647
2019-10,299518.20320855617,5.476423222,0.00489
2019-09,298923.43468950747,5.475559964,0.00397
2019-08,300309.55454545456,5.47756915,0.00436
2019-07,298470.4701195219,5.47490137,0.00231
2019-06,296722.7853982301,5.472350897,0.00538
2019-05,300290.0405,5.477540928,0.00883
2019-04,294881.9735682819,5.469648225,0.00934
2019-03,303933.97044334974,5.482779244,0.0068
2019-02,298789.7515151515,5.475365697,0.00457
2019-01,297993.4529262087,5.474206723,0.0036
2018-12,299372.09803921566,5.476211321,0.00464
2018-11,303611.9977876106,5.48231893,0.00291
2018-10,305577.9505928854,5.485122014,0.00707
2018-09,299686.98163265304,5.476667878,0.00727
2018-08,304649.9430894309,5.483801101,0.00728
2018-07,311140.6391752577,5.49295674,0.00642
2018-06,312036.0761099366,5.494204808,0.00554
2018-05,309928.0855,5.491260934,0.00355
2018-04,306154.9497716895,5.485941285,0.00071
2018-03,306984.8255528255,5.487116909,0.00236
2018-02,307493.28,5.487835629,0.00482
2018-01,312210.65134099615,5.494447715,0.00009
2017-12,316633.2367688022,5.500556501,0.00377
2017-11,311346.6397515528,5.493244183,0.00632
2017-10,321695.5,5.507444986,0.00371
2017-09,316451.32311977714,5.500306916,0.00373
2017-08,313794.4502074689,5.496645258,0.00405
2017-07,314428.3025404157,5.497521631,0.00563
2017-06,323187.6937799043,5.509454816,0.00515
2017-05,320055.64285714284,5.505225489,0.01406
2017-04,319823.36933045357,5.504910194,0.00406
2017-03,320037.9306504065,5.505201454,0.00661
2017-02,318325.7251908397,5.502871737,0.0066
2017-01,318483.6566,5.503087151,0.0056
2016-12,323375.3654390935,5.509706933,0.00165
2016-11,321313.4279207921,5.506928875,0.00018
2016-10,320045.3721973094,5.505211552,-0.00102
2016-09,316059.39906103286,5.49976871,-0.00246
2016-08,320528.2349,5.505866292,-0.00254
2016-07,326315.92523364484,5.513638269,-0.00649
2016-06,323145.6085192698,5.509398258,-0.00725
2016-05,328639.20745920745,5.516719375,-0.01564
2016-04,324795.1557017544,5.511609543,-0.00466
2016-03,322877.80272108846,5.509038189,-0.01037
2016-02,317896.8,5.502286156,-0.00839
2016-01,323874.58757062146,5.510376873,-0.00647
2015-12,324426.5076142132,5.511116331,-0.00643
2015-11,325885.47848101263,5.513065009,-0.00764
2015-10,322084.9334939759,5.50797041,-0.00777
2015-09,320675.46019900497,5.506065727,-0.00646
2015-08,325440.7804878049,5.512471973,-0.00831
2015-07,324321.76923076925,5.510976101,-0.00395
2015-06,324554.28680688335,5.51128735,-0.00337
2015-05,323616.23,5.510030294,-0.00396
2015-04,325614.5575221239,5.512703813,-0.00514
2015-03,324855.1359223301,5.511689737,-0.00299
2015-02,329153.06172839506,5.517397899,-0.00274
2015-01,328366.2773109244,5.516358549,-0.00388
2014-12,328071.06315789477,5.515967926,-0.00063
2014-11,330686.2756097561,5.519416171,-0.00267
2014-10,332758.1714065934,5.522128729,0.00249
2014-09,337607.04331154685,5.528411498,0.00709
2014-08,338487.5706940874,5.529542726,0.01043
2014-07,340308.1376146789,5.531872334,0.01315
2014-06,346876.8217054264,5.540175281,0.01902
2014-05,343906.72869955155,5.536440673,0.02281
2014-04,348167.3193116635,5.541788004,0.02302
2014-03,348297.82278481015,5.54195076,0.01199
2014-02,344107.2212,5.536693787,0.00386
2014-01,351712.4761904762,5.546187774,0.01418
2013-12,352565.0458,5.547239253,0.01504
2013-11,355818.85869565216,5.551228962,0.02572
2013-10,355769.98148148146,5.551169301,0.01982
2013-09,359352.576,5.555520762,0.01615
2013-08,363092.7947330097,5.560017631,0.02046
2013-07,361213.50471698114,5.557763979,0.0186
2013-06,364697.70277078083,5.561933028,0.01813
2013-05,366360.0479041916,5.563908107,0.01611
2013-04,372732.80860215053,5.571397622,0.01463
2013-03,361681.06913580245,5.558325778,0.03541
2013-02,361497.26394052047,5.558105015,0.04892
2013-01,362956.9455337691,5.559855111,0.03566
2012-12,361708.014,5.558358131,0.04324
2012-11,361195.83229813667,5.557742731,0.03609
2012-10,355813.9961612284,5.551223027,0.04054
2012-09,359862.2880324544,5.556136337,0.04693
2012-08,356182.76406533574,5.5516729,0.03904
2012-07,352383.48252911813,5.547015543,0.04005
2012-06,350368.06569343066,5.544524516,0.05297
2012-05,347967.2464678179,5.541538367,0.05042
2012-04,347347.08907563024,5.540763664,0.05453
2012-03,343505.4018126888,5.535933571,0.05255